title,content,keywords
"David (Ductus)","9th Gen Brujah Ductus of The Satyr Boys. Loyalist.","brujah,david,ductus,sabbat"
"Defender (Passive Effect)","Passive Effect: You may carry weapons to any gathering, including restricted ones. Authorities must allow you to go armed.","access,defender,mechanic,passive,status,weapons"
"Defender (Spent Effect)","Spent Effect: Reduce the number of Beast traits gained by one (1) when performing an action that triggers a sin. Limit one per sin.","beast traits,defender,mechanic,morality,spent,status"
"Denice Lane","10th Gen Brujah of Cast and Crew. Fighter.","brujah,denice,sabbat"
"Deputy","An assistant to an official (Sheriff, Scourge, Keeper). They derive their authority from their superior and serve at their pleasure.","assistant,camarilla,deputy,enforcer,minion,title"
"Derangement: Compulsion","A specific derangement mechanics for Ravnos. They are compelled to indulge in a specific vice (lying, theft) when the opportunity arises.","compulsion,derangement,flaw,mechanics,ravnos"
"Diablerie (The Amaranth)","The act of draining a vampire to the point of final death and consuming their soul. It allows the diablerist to lower their generation and gain power, but stains their aura with black veins. It is the ultimate crime in the Camarilla.","amaranth,aura stain,cannibalism,crime,diablerie,generation drop,soul eating,ultimate crime"
"Diocese of WNC","The organizational term for the Sabbat presence in Western North Carolina, consisting of various packs like 'Yule Tied' and 'Mallori Mayhem'.","diocese,enemy,organization,sabbat,territory,wnc"
"Dire (Bishop)","Gargoyle. The Sabbat Bishop of War. A terrifying combatant for the new Archdiocese.","bishop,dire,gargoyle,npc,sabbat,war"
"Discipline: Animalism","The power to communicate with and command the beast within animals and Kindred. Used by Gangrel and Nosferatu to summon swarms, ride the minds of beasts, and quell the frenzy of other vampires.","animal control,animalism,beast mastery,familiars,feral whispers,quell the beast"
"Discipline: Auspex","The power of heightened senses and extrasensory perception. Used by Toreador, Malkavians, and Tremere to see invisible things, read auras, and project their consciousness astrally.","astral projection,aura reading,auspex,heightened senses,psychometry,telepathy"
"Discipline: Celerity","The power of supernatural speed. Used by Brujah, Toreador, and Banu Haqim to move faster than the eye can follow, gaining extra actions in combat and dodging attacks with ease.","alacrity,celerity,extra actions,rapidity,reflexes,super speed"
"Discipline: Dementation","The power to externalize madness. Originally unique to the Malkavians, it allows the user to inflict hysteria, hallucinations, and confusion upon victims, sharing the clan's curse with the world.","dementation,hallucinations,hysteria,insanity,madness,mind breaking"
"Discipline: Dominate","The power of mental compulsion and command. Used primarily by Ventrue, Tremere, and Lasombra to force obedience, erase memories, or rewrite personalities. It requires eye contact and a shared language.","command,conditioning,dominate,forgetful mind,mental control,mesmerize,possession"
"Discipline: Fortitude","The power of supernatural resilience. Used by Ventrue, Gangrel, and Ravnos to soak damage that would pulverize a mortal, including fire and sunlight (to a degree). It is the shield of the immortal.","endurance,fortitude,invulnerability,resilience,soak,toughness"
"Discipline: Necromancy","The magic of death and souls, practiced by the Giovanni and some other bloodlines. It allows communication with wraiths, raising zombies, and manipulating the entropy of life.","death magic,ghosts,giovanni,necromancy,soul manipulation,wraiths,zombies"
"Discipline: Obfuscate","The power of supernatural concealment. Used by Nosferatu, Malkavians, and Banu Haqim to cloud the minds of observers, becoming effectively invisible. It can also be used to disguise one's appearance.","concealment,hiding,invisibility,mask of a thousand faces,obfuscate,stealth"
"Discipline: Obtenebration","The power to manipulate darkness and shadows, tapping into the Abyss. The signature power of the Lasombra. Users can create tentacles of shadow, shroud areas in pitch blackness, or become a shadow themselves.","abyss,arms of the abyss,darkness,obtenebration,shadow form,shadow manipulation"
"Discipline: Potence","The power of supernatural strength. Used by Brujah, Nosferatu, and Lasombra to crush stone, lift cars, and deal devastating damage in melee combat. It is the raw physical might of the Blood.","crushing blow,destruction,might,potence,super strength,vigor"
"Discipline: Presence","The power of emotional manipulation. Used by Toreador, Ventrue, and Brujah to attract, terrify, or command the attention of others without direct mind control. It works on crowds and sways emotions.","awe,charisma,dread gaze,entrancement,fear,majesty,presence"
"Discipline: Protean","The power of shapeshifting. The signature discipline of the Gangrel, allowing them to grow claws, see in the dark, turn into a mist, or transform into a wolf or bat.","claws,earth meld,mist form,protean,shapeshifting,transformation"
"Discipline: Quietus","The silent art of death practiced by the Banu Haqim. It involves silencing sounds, creating virulent blood poisons, and eroding the stamina of victims. It is the tool of the assassin.","assassination,blood sweat,death arts,poison,quietus,silence"
"Discipline: Thaumaturgy (Blood Sorcery)","The jealously guarded magic of Clan Tremere. It is versatile and dangerous, capable of boiling blood, moving objects with the mind, or summoning fire. It is divided into Paths (like Path of Blood) and Rituals.","blood magic,blood sorcery,path of blood,rituals,sorcery,thaumaturgy,tremere secret"
"Discipline: Vicissitude","The alien power of flesh and bone crafting, practiced by the Tzimisce. It allows the user to mold living tissue like clay, creating beautiful or horrific alterations to themselves and others.","body horror,bonecrafting,fleshcrafting,transformation,tzimisce,vicissitude"
"Disgraced (Censure)","Censure: Prohibited from carrying weapons or using powers near officers without permission. Cannot feed in sect territory (scraps only). Cannot spend or gain status. Boons owed to you need not be repaid.","censure,disgraced,feeding,mechanic,restriction,status"
"Disgraced (Removal)","Removal: Lasts as long as you hold 'Warned'. If acquired without 'Warned', lasts for two games or one month (whichever is longer). Can be removed by apologizing and paying a Major Boon to the officer if caught violating.","disgraced,duration,mechanic,redemption,removal,status"
"Domain","The physical territory claimed by a Prince or granted to a vassal. The holder of a domain has the right to feed within it and restrict access to others.","camarilla,domain,feeding,land,term,territory"
"Domain of Charlotte","'The Golden Tower'. A neighboring Camarilla domain.","camarilla,charlotte,domain,location"
"Domain of Johnson City","Anarch domain ruled by Baron Santos. Ally of Schaefer.","anarch,domain,johnson city,location,santos"
"Domain of Knoxville","'The Marble Tyrant'. A neighboring domain ruled by Prince Iago.","domain,knoxville,location,prince iago"
"Dominion","A mid-level commander in the Black Hand, leading a 'Kamut' (a pack of Black Hand operatives).","black hand,captain,dominion,officer,sabbat,title"
"Dr. Lenore Scott","The Seneschal of the Triangle. A Ventrue scholar who handles the day-to-day logistics of Malphas's domain. She is known for her medical background and detailed correspondence.","doctor,lenore scott,seneschal,triangle,ventrue"
"Ductus","The tactical leader of a Sabbat pack. Chosen by the pack (not appointed from above), they make the combat decisions and decide the pack's immediate goals.","captain,ductus,officer,pack leader,sabbat,sabbat rank,tactician,title"
"Ductus Dire","Leader of Witch Hunt. 7th Gen Gargoyle. Fanatic loyalist to the Sabbat cause.","dire,ductus,gargoyle,sabbat"
"Dwayne","9th Gen Gangrel of The Satyr Boys.","dwayne,gangrel,sabbat"
"E.W. Grove (Keeper Emeritus)","Ventrue Ancilla and owner of the Grove Park Inn. Granted his wish to make the Inn an Elysium in June 2025 by Prince Daveed, shortly before being replaced as Keeper by Michael Valentine.","builder,elysium,grove,keeper,npc,ventrue"
"Ed (Redcap)","A Redcap and 'Vizier' to King Leopold. Terrifying enforcer who is rumored to be Leopold's lover. Originally from Baton Rouge.","changeling,ed,enforcer,redcap,unseelie"
"Elara","Brujah Neonate. Carries a 'Jar of teeth from Big Ben's haven' and a copy of his journal. Has a weird voice in her head that might be Big Ben.","brujah,elara,haunted,mystery,pc"
"Elder","A vampire of significant age (usually 300+ years) and generation. They hold the true power in the Camarilla and are masters of the Jyhad.","300+ years,ancient,camarilla,elder,leader,master,powerful,rank,ruler,status"
"Elysium","Designated safe havens within the city where violence is prohibited and the arts are celebrated. Often located in high-end venues like the Art Gallery or historical sites.","art,basilica,camarilla,elysium,gallery,haven,location,meeting place,neutral,peace,politics,safe zone,safety,sanctuary,social ground,term"
"Elysium: The Basilica","The Basilica of St. Lawrence in Asheville. The primary seat of courtly interaction.","basilica,church,court,elysium,haven,location"
"Elysium: The Grove","A localized term for the Grove Park Inn Elysium under Keeper E.W. Grove.","elysium,haven,location,meeting place"
"Emerald Beauregard","Banu Haqim Neonate. Goes by 'Basil'. Investigated the Banu Haqim feeding territory and had a derangement break at a Gather.","banu haqim,basil,emerald,investigator,pc"
"Enforcer (Pack)","A pack role for the strongest combatant, responsible for physical threats to the pack.","enforcer,fighter,muscle,pack,sabbat,title"
"Enforcer (Passive Effect)","Passive Effect: You may carry weapons to any gathering. You may deputize up to two others with 'Defender' for a single night.","deputize,enforcer,mechanic,passive,status,weapons"
"Enforcer (Spent Effect)","Spent Effect: Give the Negative Status 'Warned' to an individual you legitimately believe has broken sect or domain law.","enforcer,mechanic,punishment,spent,status,warned"
"Enebishin","Gangrel Neonate. An archer who uses a bow with Silver and Incendiary arrows. Drives a Superior Motorcycle.","archer,enebishin,gangrel,hunter,pc"
"Erin Yesse","Brujah Neonate and Enforcer. A street-level fighter and protector of the domain. Erin is often on the front lines against Sabbat incursions and breaches of the peace.","brujah enforcer,erin yesse,fighter,neonate,protector"
"Esmerelda Camazot Yuritzi","Gangrel Elder and Whip. An ancient and primal force within the clan. She guides the Gangrel in their connection to the Beast and the land, ensuring they remain useful guardians of the domain.","elder,esmerelda,gangrel whip,guide,primitive"
"Established (Passive Effect)","Passive Effect: Anyone who openly insults, threatens, or attacks you automatically receives the Negative Status 'Warned'. (Authority/Commander/Triumphant are immune).","defense,established,insult,mechanic,passive,status,warned"
"Established (Spent Effect)","Spent Effect: You may give the Fleeting Status 'Favored'.","established,favored,granting status,mechanic,spent,status"
"Euagetaematikon","The 'Book of Blood'. The sacred text of the Cainite Heresy.","book,heresy,item,lore,religion"
"Evander","Former Ventrue Prince of Asheville. Betrayed by E.W. Grove and destroyed by Tallula in 1914.","dead,evander,history,prince,ventrue"
"Everyman Round","The first round of a combat turn where every participant acts. Followed by Celerity rounds where only those with Celerity act.","combat,everyman,initiative,mechanics,turn"
"FBI Incursion (Sept 2025)","The arrival of federal agents in Asheville, prompting Prince Daveed to order Erecura to alter her appearance to avoid the Second Inquisition.","2025,erecura,fbi,history,hunters,si"
"Face (Pack)","A pack role for the vampire who handles social interactions with outsiders or other packs.","diplomat,face,pack,sabbat,social,title"
"Faith Blake","9th Gen Lasombra Abbot of Cast and Crew. Free Spirit.","abbot,faith,lasombra,sabbat"
"False Sabbat","A vampire who claims membership but has not yet proven themselves (or is suspected of treason). They have no rights and are often used as cannon fodder.","false sabbat,fodder,status,suspect,unproven"
"Favored (Passive Effect)","Passive Effect: Anyone who openly attacks you automatically receives 'Warned' (unless immune). Shows you have a patron.","defense,favored,mechanic,passive,status,warned"
"Favored (Spent Effect)","Spent Effect: Negate a negative status before it is applied. The attacker cannot attempt to apply negative status to you again for the night.","defense,favored,immunity,mechanic,spent,status"
"Feeding Grid","The abstract system used by the Primogen Council to allocate hunting grounds. The city is split into a numbered grid rather than complex street borders to streamline political distribution of territory.","feeding,grid,mechanics,primogen,rules,territory"
"Feeding Territories","Grid-based system for hunting. Clans must patrol their assigned blocks. All blocks provide equal sustenance.","feeding,rules,system,territory"
"Feeding Territory: The Rack","Two specific blocks in downtown Asheville reserved for visiting Kindred and those without their own domain. It is a high-traffic nightlife area. Resident Kindred with assigned territories are forbidden from hunting here to ensure hospitality for guests.","downtown,feeding,hunting ground,location,nightlife,open territory,rack,the rack,visitor feeding"
"Feodor Ilyasov","Ventrue Elder. Uses the name 'Theodor'. Possesses 'Social Nobility' and a 'Prestigious Sire' (Anya Doyamin). Wears a flashy artisan necklace.","elder,feodor,ilyasov,noble,pc,ventrue"
"Fetter","An object or person that ties a wraith to the living world. Helen's fetter is her sister (or the bridge itself, effectively).","anchor,ghost,lore,magic,wraith"
"Fire Dance","A Sabbat rite where vampires prove their bravery by jumping through fire. Builds courage against Rötschreck.","bravery,fire dance,lore,ritual,sabbat"
"Firestorm Cafe","A neutral ground or popular meeting spot within the city, often frequented by Kindred of various standings.","cafe,informal elysium,location,meeting,neutral,social hub"
"Firewalker","A vampire who has passed the Fire Dance ritual and is respected for their bravery.","brave,firewalker,ritual,sabbat,status,veteran"
"Fledgling","A brand new vampire still under the protection and accounting of their sire. They are not yet full members of Camarilla society and have no rights of their own.","apprentice,camarilla,child,dependent,fledgling,no status,protected,status,unreleased"
"Forsaken (Censure)","Censure: You are no longer Accepted. You hold no status. You may be destroyed without repercussion. Society's laws do not protect you.","blood hunt,censure,forsaken,lextalionis,mechanic,status"
"Forsaken (Removal)","Removal: Can only be removed by an expenditure of Authority status (pardon). Usually permanent until death.","forsaken,mechanic,pardon,removal,status"
"Founded Pack","A Sabbat pack that settles permanently in a city, establishing a communal haven and taking territory.","founded pack,resident,sabbat,settler,term,territory"
"Gallant (Passive Effect)","Passive Effect: None.","gallant,mechanic,none,passive,status"
"Gallant (Spent Effect)","Spent Effect: Overcome any political/etiquette error made in the last 5 minutes. The error is acknowledged but must be forgiven.","defense,forgiveness,gallant,mechanic,social,spent,status"
"Games of Instinct","Sabbat 'sports' used to hone predatory skills. Examples include 'Cowboys and Indians' (hunting mortals) or 'Demolition Derby'.","games,lore,ritual,sabbat,sport"
"Gargoyles","A slave race created by the Tremere from the body parts of Gangrel, Nosferatu, and Tzimisce to fight in the Gargoyle Revolt. Now a free bloodline.","bloodline,construct,gargoyle,gargoyles,lore,slave,stone skin,tremere,tremere creation"
"Gehenna","The prophesied end times when the Antediluvians will rise from torpor to devour their children. The Sabbat fights a war to prevent this, while the Camarilla traditionally denied its existence (until recently).","antediluvians rising,apocalypse,end times,gehenna,judgment day,vampire armageddon"
"Gehenna Cults","Cults predicting the end of the world, cracked down upon by Tallula in 1999.","cult,gehenna,history,lore,religion"
"George Vanderbilt","Mortal tycoon whose estate purchase in 1888 catalyzed the Kindred population of Asheville.","biltmore,history,mortal,npc,vanderbilt"
"Ghoul","A mortal servant fed vampire blood. They serve as daylight agents, bodyguards, and retainers. They are considered property of their domitor.","blood addict,camarilla,domitor,ghoul,human servant,mortal,property,retainer,servant,term"
"Ghoul Family: Bratovich","A Revenant family serving the Tzimisce. Kennemasters and monsters. Known for violence and lack of hygiene.","bratovich,family,ghoul,lore,revenant,tzimisce"
"Ghoul Family: Grimaldi","A Revenant family serving the Sabbat (and sometimes Camarilla). Socialites and politicians.","family,ghoul,grimaldi,lore,revenant,social"
"Ghoul Family: Obertus","A Revenant family serving the Tzimisce. Scholars and occultists.","family,ghoul,lore,obertus,revenant,scholar"
"Ghoul Family: Zantosa","A Revenant family serving the Tzimisce/Toreador. Hedonists and drug dealers.","family,ghoul,lore,party,revenant,zantosa"
"Ghouling","The act of feeding vitae to a mortal to create a Ghoul servant.","bonding,empowerment,servant creation"
"Gideon's Chosen Few","A sophisticated and well-funded hunter network operating a compound near Swannanoa. They view themselves as holy knights on a crusade. Unlike the ACM, they possess advanced technology and tactical training, making them a severe threat to the Masquerade.","antagonist,chosen few,gideon,high-tech threat,holy warriors,hunters,sophisticated,swannanoa"
"Giovanni","A clan of necromancers and incestuous families. They are an independent clan (until recently) focused on wealth and family. They diablerized their founder Cappadocius.","family,giovanni,incest,independent,mafia,necromancers"
"Golconda","A mythical state of enlightenment and balance between the Man and the Beast. Kindred who achieve it are said to master their hunger and frenzy, finding peace in their damnation. It is the ultimate spiritual goal for many, though few attain it.","enlightenment,golconda,mastery of beast,myth,peace,salvation"
"Grand Conclave","The highest gathering of the Camarilla, occurring rarely (last in 2023), where Justicars are chosen.","conclave,event,gathering,politics,supreme"
"Grand Inquisitor","The head of the Sabbat Inquisition. A terrifying figure who directs the hunt for infernalists and heretics across the entire sect.","feared,grand inquisitor,judge,leader,sabbat,title"
"Grant Smalls","Tremere Neonate Steward. Possesses specific occult books like 'Libations of the Vampire' and 'Vitae and Voles'. Has a tattoo of a pentagram over his heart.","grant smalls,pc,scholar,steward,tremere"
"Grant Smalls (Steward)","Tremere Neonate appointed as the first Steward of Elysium by Michael Valentine.","elysium,grant smalls,npc,steward,tremere"
"Graverobber","A vampire who feeds from corpses (Nagaraja/Samedi) or chills in cemeteries.","archetype,creepy,feeding,lifestyle"
"Greater Asheville","The fictional setting of the chronicle, encompassing Asheville, NC, and surrounding areas like Black Mountain. Formerly a Sabbat stronghold, it 'flipped' to the Camarilla in the early 90s.","asheville,city,location,setting"
"Grove Arcade","A massive skyscraper in the World of Darkness version of Asheville, completed by E.W. Grove in 1929. A common meeting place.","grove,grove arcade,location,skyscraper"
"Grove Arcade (Skyscraper)","In the Greater Asheville setting, E.W. Grove's masterpiece was completed in 1929 (unlike the real world), standing as a massive 14-story skyscraper. It is the tallest building in the city and a monolith of Kindred influence.","architecture,divergence,grove arcade,history,location,skyscraper"
"Grove House (Nightlife)","A location originally a YWCA, now a hub for Kindred nightlife. Despite the name, it is not owned by E.W. Grove, but was controlled by Prince Tallula Donegan as a public meeting space.","gathering,grove house,location,nightlife,social,tallula"
"Grove Park Inn","The personal domain of Keeper E.W. Grove. A sprawling, ornate hotel.","elysium,grove,grove park inn,haven,historic site,hotel,location,luxury,meeting ground"
"Guardian (Passive Effect)","Passive Effect: Award 'Warned' to anyone behaving inappropriately in your jurisdiction or disrespecting your proclamations.","guardian,mechanic,passive,punishment,status,warned"
"Guardian (Spent Effect)","Spent Effect: Give the Negative Status 'Disgraced'. Keepers declare 'Profane', Harpies declare 'Boonbreaker'.","disgraced,guardian,mechanic,punishment,spent,status"
"Guruhi","A Laibon lineage of kings and land-rulers in Africa. They blend ancient tradition with modern corporate engineering.","africa,bloodline,guruhi,kings,laibon,lore"
"Hailey Coleman","Tremere Neonate. Spent time being exasperated at her clanmates. Owns a Ouija Board customized for seances.","hailey,occult,pc,seance,tremere"
"Harbinger","A messenger sent ahead of a nomadic pack or war party to announce their arrival (or issue threats).","harbinger,herald,messenger,sabbat,threat,title"
"Harbingers of Skulls","The remnants of the Cappadocian clan who returned from the Shadowlands (or Kaymakli) to join the Sabbat. They wear masks to hide their skull-like faces.","bloodline,cappadocian,lore,necromancer,revenant,sabbat,skeletons"
"Harold Harkness","Malkavian Neonate. Grows 'Magic Mushrooms' (Hallucinogens). Wears a 'Neurological Specialist's Outfit'. Investigated Mallori Mayhem's research.","drugs,harold,malkavian,pc,scientist"
"Harpy","The arbiter of social status and scandal. They maintain the ledger of boons, announce who is 'in' or 'out' of favor, and punish social faux pas with status bans like 'Vulgar' or 'Disgraced'.","boon recorder,camarilla,gossip,harpy,judge,social,socialite,status,status keeper,title"
"Harpy Sister Tiffany","Malkavian Ancilla and Harpy. A former nun and civil rights organizer who came to Asheville in 1992 to help Kindred adapt to the Camarilla.","gossip,harpy,malkavian,nun,social arbiter,status,status manager,tiffany"
"Hattie McCloud (Deceased)","Malkavian Ancilla and former Primogen. Ashes recovered Dec 7, 2024. Owner of the Rabbit Motel. Known for 'special vintages' of blood.","dead,hattie,malkavian,npc,primogen,rabbit motel"
"Helen Wheels","Gangrel Neonate. Drives a car customized for street racing. Has extensive lab equipment.","gangrel,helen wheels,pc,racer,scientist"
"Helen's Bridge","A haunted bridge at Zealandia. The site where the witch Helen committed suicide to trap the Methuselah Judeculla. It is a synched leyline and a gathering place for ghosts.","bridge,ghosts,haunted,healed,judeculla,location"
"Herald","A messenger of the Prince. They deliver proclamations, summons, and warnings to the Kindred of the city. In some courts, this role is merged with the Harpy or Seneschal.","camarilla,herald,messenger,official,title,voice"
"Highland Hospital","The site of the 1948 fire used to cover up Zelda Fitzgerald's embrace. A location of historical trauma.","fire,history,hospital,location,zelda"
"Honorable (Passive Effect)","Passive Effect: Individuals must expend a positive status to openly accuse you of lying. Only one spend required to bypass this, even if you have multiple Honorable traits.","defense,honorable,lying,mechanic,passive,status,truth"
"Honorable (Spent Effect)","Spent Effect: Remain in a scene you would otherwise be politically forced to leave. Immune to the spend bonus of Abiding Status in that instance.","defense,honorable,mechanic,social,spent,status,stay"
"Hound","A slang term or official title for a Deputy Sheriff. They assist the Sheriff in patrolling the domain and subduing criminals.","camarilla,deputy,enforcer,hound,sheriff,title"
"Howitzer Prime","8th Gen Tzimisce of Murder Piñata. A monster who turned their body into a weapon.","howitzer,monster,sabbat,tzimisce,weapon"
"Humanity","The moral code that keeps the Beast at bay. Vampires must maintain their connection to their human nature or risk falling to the Beast and becoming a mindless monster (Wight).","beast control,conscience,humanity,morality,sanity,soul"
"Hunter","Mortals who have discovered the existence of monsters and sworn to destroy them. The Second Inquisition is a global network of hunters using government intelligence and black ops.","inquisition,mortal enemy,slayer,threat"
"Ignoblis Ritae","The Low Rituals of the Sabbat. Custom rituals created by individual packs to bond them together. Unique to each pack.","ignoblis ritae,lore,pack,ritual,sabbat"
"Imperator","A rare military title for the supreme commander of the Camarilla's forces during times of great war. Karsh is the most famous Imperator.","camarilla,general,imperator,military,title,warlord"
"Imperator Karsh","The Warlord of the Camarilla who vanished in 2023, leaving a power vacuum in the military leadership.","camarilla,gangrel,imperator,karsh,lore,missing,mystery,npc,warlord"
"Inconnu","A mysterious sect of ancient vampires who have withdrawn from the Jyhad to seek Golconda. They monitor the other sects but rarely intervene.","golconda seekers,monitors,mystery sect,neutrals"
"Industrial Revolution","The era that allowed vampires to finally settle the 'urban valleys' of the mountains in numbers.","growth,history,industrial,settlement"
"Influence: Bureaucratic Errors","A Level 3 Commercial Industry influence action. Used by E.W. Grove to create a grant program for fire suppression systems.","action,commercial,grove,influence"
"Influence: Free Travel","A Level 1 Transportation/Underworld influence action. Allows for secure movement between cities or locations without tracking.","action,influence,logistics,travel"
"Influence: Illegal Favors","A Level 3 Underworld/Street influence action. Used to acquire contraband (guns, drugs, burner phones).","action,black market,crime,influence"
"Influence: No Party Crashers","A Level 5 influence action used to secure a location from mortal interference (police, fire, nosey neighbors).","action,influence,security,stealth"
"Influence: Smooth Over","A Level 4 News Media influence action. Used to spin a story or suppress a Masquerade breach in the press.","action,coverup,influence,media,spin"
"Initial XP","The Experience Points provided at character creation to customize a character. In this system, typically involves assigning attributes (7/5/3), skills, and backgrounds.","build,character creation,mechanics,xp"
"Inner Circle","The secretive ruling body of the entire Camarilla. Composed of the eldest members of each clan, they meet every 13 years in Venice to set global policy and appoint Justicars.","camarilla,global,inner circle,leadership,lore,politics,ruler,secret,title"
"Inquisitor","A member of the Sabbat Inquisition. They investigate infernalism and treason within the sect. They have the authority to accuse and try even high-ranking leaders.","inquisitor,internal affairs,investigator,judge,sabbat,title"
"Isabella María","Banu Haqim Primogen. Goes by 'Izzy'. Recently discovered her Sabbat associations and moved in with Wiebke. Wears a 'Mazel cocktail'.","banu haqim,banu haqim primogen,clan representative,diplomat,isabella,izzy,pc,primogen,warrior"
"Ishtarri","A Laibon lineage (and Toreador bloodline) of diplomats, spies, and hedonists. They are known for their beauty and dual nature.","africa,bloodline,ishtarri,laibon,lore,toreador"
"Item: Abyssal Ink","A consumable item used by Lasombra (Rio) for rituals or powers. 5 uses per jar.","abyss,item,lasombra,occult,ritual"
"Item: Blood Wine","A consumable item created by Dr. Elezar and The Knight. Restores blood/vitae. 16 points of blood per bottle.","blood,consumable,elezar,item,wine"
"Item: D-Tryptophan","A chemical compound possessed by Wyatt Alston. Likely used for sleep inducement or tampering with mortals/blood.","chemical,item,science,wyatt"
"Item: Foil Mana Crypt","A playset of rare Magic: The Gathering cards owned by Puck. Classified as 'Flashy'.","flavor,gaming,item,puck,wealth"
"Item: Frankencar","A vehicle owned by Pretty Boy Slim. Flashy and cobbled together, likely with high performance stats.","item,mechanic,pbs,vehicle"
"Item: Hattie's Key","A unique item held by Sariah. Likely opens something related to the deceased Primogen Hattie McCloud (Rabbit Motel?).","hattie,item,key,mystery,plot"
"Item: Hurdy Gurdy","A superior musical instrument owned by Nito. Adds dice to Performance checks.","instrument,item,music,nito"
"Item: Obsidian Pendulum","An item customized for Science (Psychology) and Dementation, owned by Harold. Used for hypnosis or diagnosis.","harold,hypnosis,item,malkavian,tool"
"Item: Origami Lion","A flavor item held by Faustus. Represents artistic skill or a specific message.","art,faustus,flavor,item"
"Item: PISS Keychain","A flashy keychain owned by Danny Reeves with gold/silver stars and glowing beads spelling 'PISS'.","danny reeves,flavor,funny,item"
"Jess Thomas","10th Gen Setite of Cast and Crew. Sufferer of anxiety.","jess,sabbat,setite"
"Johnny Caper","11th Gen Malkavian Abbot of Yahtzee Bitch. Bully.","johnny caper,malkavian,sabbat"
"Judge Inquisitor","A high-ranking Inquisitor authorized to convene tribunals and pass judgment on suspected traitors or infernalists.","judge,judge inquisitor,law,prosecutor,sabbat,title"
"Judeculla","A Methuselah (likely Salubri or Baali) trapped beneath the mountains of WNC. His influence is kept at bay by Helen's sacrifice. The source of much local magical turbulence.","ancient,judeculla,methuselah,monster,sleeping threat"
"Judeculla Rock","An ancient site of power in the mountains. Linked to the Salubri lineage and Saulot.","ancient,ancient site,judeculla rock,location,lore,magic,magic location,mountain mystery,noddist lore,salubri,saulot"
"Judicial Conclave","A high-level Camarilla court meeting to decide major laws or judge high-profile cases (like the Red List).","conclave,court,event,law,politics"
"Julie d’Aubigny (La Maupin)","Historical figure cited as the 'vibe' for Tallula Donegan.","duelist,flavor,inspiration,opera,tallula"
"Juliet Parr (Justicar)","The Malkavian Justicar. Sheriff of London. Presiding over the 2025 Conclave regarding Kemintiri.","juliet parr,justicar,leader,malkavian,npc"
"June 2025 Praxis Shift","The specific date when Prince Daveed Fourié claimed Praxis, resulting in the shuffling of Elysium locations (opening Grove Arcade, closing the Arboretum).","2025,daveed,elysium,history,politics,praxis"
"Justicar","The supreme judges and enforcers of the Camarilla, elected by the Inner Circle. They have the power to overrule Princes and command Archons. There is one for each Camarilla clan.","authority,camarilla,commander,enforcer,global,inner circle,justicar,leader,supreme judge,title"
"Justicar Basillia","Gangrel Justicar. Rose to power after the Gangrel rejoined the Tower. Suspected traitor by some.","basillia,gangrel,justicar,npc"
"Justicar Cock Robin","Nosferatu Justicar. Returned to the position in 2024 after Warwick's ousting.","cock robin,justicar,nosferatu,npc"
"Justicar Juliet Parr","Malkavian Justicar. Sheriff of London. Orchestrated the Setite amnesty offer.","juliet parr,justicar,malkavian,npc"
"Justicar Lucinde","Ventrue Justicar and Red Alastor. Effectively filling the role of Imperator.","alastor,justicar,lucinde,npc,ventrue"
"Justicar Madame Guil","Toreador Justicar. Known for ruthlessness and executing untouchable Elders. Tallula's ally.","justicar,madame guil,npc,toreador"
"Justicar Tegyrius","Banu Haqim Justicar. Masterminded the clan's entry into the Camarilla.","banu haqim,justicar,npc,tegyrius"
"Justicar Theo Bell","Brujah Justicar. Famous Archon who killed Hardestadt. Controversial but popular.","brujah,justicar,npc,theo bell"
"Justicar Ulugh Begh","The Tremere Justicar, recently appointed to replace Anastasz di Zagreb. He has taken a hardline stance against the Sabbat and is rumored to be critical of the Asheville domain's 'lax' history with the Sword of Caine. His Archon, Ferrum Civis, was recently destroyed in Asheville.","antagonist,camerilla leadership,hardliner,justicar,leader,npc,political threat,tremere,ulugh begh"
"K-Blur ('Keebler')","A Knocker Changeling who runs a distribution warehouse in Asheville. Primary contact for the local Fae.","changeling,fae,keebler,knocker,npc"
"Kamut","A specific term for a pack comprised entirely of Black Hand operatives.","black hand,elite,kamut,sabbat,squad,term"
"Kaymakli","The underground city in Turkey where Cappadocius held the 'Feast of Folly', sealing thousands of his 'unworthy' childer in the tunnels to starve or fall to the Beast.","cappadocian,feast of folly,giovanni,history,kaymakli,lore"
"Kemintiri (Red List)","The subject of the upcoming 2025 Judicial Conclave in London. The conclave will debate her removal from the #1 spot on the Red List.","conclave,kemintiri,lore,politics,red list"
"Ken Dances","Reclusive Nosferatu Neonate and host of the pirate radio show 'The Weather'. He has not been seen at a Gather in decades, yet everyone knows his voice.","ken dances,nosferatu,npc,radio,voice,weather"
"Keeper E.W. Grove","The Ventrue Keeper of Elysium and a legendary architect. He is the mastermind behind the Grove Park Inn and the Grove Arcade. He faked his death in 1927 and has a complicated history involving a betrayal of Prince Evander to the Sabbat in 1914, before defecting back to the Camarilla with Tallula in 1991.","architect,builder,elysium,grove,grove park inn,keeper,keeper of elysium,traitor,ventrue"
