title,content,keywords
"Lupine","The Kindred term for Werewolves. Mortal enemies of vampires. They are viewed as savage demons who guard the wild places. A single Lupine can often destroy a whole coterie of vampires.","werewolf,enemy,shifter,savage,danger"
"Mage","A human with the power to alter reality (True Magick). The Tremere were once Mages who lost their avatars to become vampires. Mages are unpredictable and dangerous.","wizard,reality bender,willworker,dangerous mortal"
"Wraith","The ghost of a dead human. They exist in the Shadowlands. Necromancers (Giovanni/Tremere) can bind or bargain with them for information and spying.","ghost,spirit,dead soul,shadowlands,haunting"
"Changeling","A fae soul reborn in a human body. They are creatures of dreams and glamour. Kindred find them confusing and their blood (fae blood) has hallucinogenic properties.","fae,fairy,dreamer,glamour,hallucinogen"
"Hunter","Mortals who have discovered the existence of monsters and sworn to destroy them. The Second Inquisition is a global network of hunters using government intelligence and black ops.","inquisition,slayer,mortal enemy,threat,second inquisition"
"The Second Inquisition (SI)","The decentralized, global covert operation by human intelligence agencies (CIA, NSA, Vatican, etc.) to eradicate vampires. They burned the Vienna Chantry and London. They are the reason for the strict modern Masquerade.","hunters,government,surveillance,threat,purge"
"SchreckNET","The former Nosferatu internet network. It was compromised by the NSA/Second Inquisition, leading to the destruction of many vampires. It is now strictly forbidden to use unencrypted digital comms for Kindred business.","hacker network,compromised,danger,nosferatu tech,history"
"Lineage","The genealogy of a vampire. Who your sire is, who their sire was, back to the Antediluvian. Lineage determines social standing, especially in Clan Ventrue.","pedigree,ancestry,sire line,status source,history"
"Coterie","A small group of vampires who band together for mutual protection and political gain. The basic social unit of the Camarilla.","group,party,gang,allies,social unit"
"Pack","The Sabbat equivalent of a coterie, but bound by the Vaulderie and fanatical loyalty. They live and fight as a single unit.","sabbat group,warband,bound unit,gang,commune"
"Amaranth","A poetic term for Diablerie.","diablerie,soul eating,poetic term"
"Lextalionis","The Law of Retaliation. The code that allows for the Blood Hunt. Eye for an eye.","blood hunt,law of retaliation,death sentence"
"Praxis","The right to rule a domain. A Prince 'claims Praxis' to establish their authority. It must be supported by the Primogen and the capacity to enforce it.","right to rule,sovereignty,claim,princehood,authority"
"Justicar","The supreme judges and enforcers of the Camarilla, elected by the Inner Circle. They have the power to overrule Princes and command Archons. There is one for each Camarilla clan.","supreme judge,enforcer,inner circle,authority,commander"
"Archon","A subordinate to a Justicar. They rove the world enforcing the Justicar's will, investigating corruption, and hunting the Red List.","deputy,enforcer,agent,investigator,justicar's hand"
"Alastor","A specific type of Archon dedicated to hunting the Red List (the Anathema). They carry a special tattoo and have the authority to command any Camarilla vampire to assist them.","red list hunter,bounty hunter,special agent,authority"
"Red List (Anathema)","The 'Most Wanted' list of the Camarilla. Vampires who have committed crimes so heinous (usually infernalism, massive breaches, or ancient crimes) that their global destruction is mandated.","most wanted,kill on sight,criminals,enemies of state"
"Elysium: The Grove","A localized term for the Grove Park Inn Elysium under Keeper E.W. Grove.","location,haven,meeting place"
"The Sword of Caine","Another name for the Sabbat, emphasizing their role as the soldiers of the First Vampire against the Antediluvians.","sabbat title,warriors,religious name"
"The Ivory Tower","Another name for the Camarilla, emphasizing their isolation, elitism, and rigidity.","camarilla title,elitist,structure,metaphor"
"Anarch Free State","A territory where the Camarilla hierarchy is rejected, and Anarchs rule by committee or survival of the fittest. The most famous was Los Angeles before it fell.","rebel territory,liberated zone,anarch domain,no prince"
"Autarkis","A vampire who refuses to belong to any sect (Camarilla, Sabbat, or Anarch). They live independently, often in isolation.","independent,unaligned,hermit,neutral"
"Methuselah's Thirst","The curse that ancient vampires can no longer sustain themselves on human blood and must feed on the vitae of other vampires.","hunger,curse,elder flaw,cannibalism necessity"
"Rötschreck","The Red Fear. The terror induced by fire or sunlight. It causes an immediate, panic-fueled flight reflex in vampires.","fire fear,sun panic,cowardice,instinct"
"Wassail","The final frenzy where the vampire loses all Humanity and the Beast takes over permanently. The vampire becomes a Wight.","final frenzy,loss of soul,game over,beast win"
"Wight","A vampire who has undergone Wassail. They are mindless, language-less monsters who exist only to feed. They are hunted down by all sects.","monster,mindless,fallen,beast,kill on sight"
"Vaulderie","The Sabbat ritual of emptying blood into a communal chalice and drinking it. It breaks existing blood bonds and creates a Vinculum (loyalty bond) among the participants.","sabbat ritual,blood sharing,bond breaking,loyalty creation"
"Vinculum","The bond created by the Vaulderie. It is a web of loyalty varying in strength, binding a pack together emotionally.","pack bond,loyalty,sabbat tie,artificial love"
"Path of Enlightenment","Alternative moral codes used by the Sabbat (and some elders) to replace Humanity. They focus on control, conviction, or monstrosity (e.g., Path of Caine, Path of Night) to hold off the Beast without being 'human'.","alternative morality,sabbat code,beast control,philosophy"
"Path of Caine","A Sabbat path focusing on emulating Caine, the first vampire. Adherents seek to master their vampiric nature, learn blood sorcery, and diablerize to gain power closer to Caine.","noddist path,scholar,diablerist,cainite"
"Path of Cathari","A path of vice and excess. Adherents believe vampires are creatures of the material world and should indulge in every pleasure and sin to trap the soul in the body.","sinners,hedonists,vice,alcibiades"
"Path of Death and the Soul","A path practiced by Necromancers. It involves a detached, scientific study of death, souls, and entropy. Adherents are cold and emotionless.","necromancer path,scientific,cold,detached"
"Path of Feral Heart","A path for those who embrace the Beast. Adherents live as supreme predators, following the instincts of the wild. They are often Gangrel.","beast path,predator,feral,instinctive"
"Path of Honorable Accord","A path of knights and codes. Adherents value honor, loyalty, and duty above all. Often found among Sabbat Templars and Paladins.","knight path,honor,code,loyalty,paladin"
"Path of Lilith (Bahari)","A path that worships Lilith as the Dark Mother. Adherents seek wisdom through pain and suffering (giving and receiving). They are often enemies of Caine-worshippers.","lilith worship,pain,suffering,dark mother,heresy"
"Path of Metamorphosis","A Tzimisce path focused on evolving the body and soul through Vicissitude. Adherents view themselves as changing gods, discarding humanity for a higher state of being.","tzimisce path,evolution,fleshcrafting,transhumanism,godhood"
"Path of Night","A Lasombra path. Adherents believe they are the shadows sent by God to punish sinners. They accept their role as monsters and rulers of the dark.","lasombra path,shadows,punishers,monsters"
"Path of Power and the Inner Voice","A path of absolute rule. Adherents believe that power justifies itself and that the strong must rule the weak. Common among Sabbat leaders (Bishops/Cardinals).","leader path,power,dictator,machiavellian,rule"
"Palla Grande","A major Sabbat festival held on All Hallows' Eve. It is a masquerade ball of horror, often ending in a 'Blood Feast' where captured mortals are hunted and eaten.","sabbat holiday,festival,halloween,blood feast,horror party"
"Creation Rites","The Sabbat ritual of embracing new vampires. Often involves 'shovelheading'—draining a victim, feeding them blood, bashing them over the head with a shovel, and burying them. If they claw their way out, they are Sabbat.","sabbat embrace,shovelhead,brutal,survival of fittest"
"Monalisa","The slang term for the act of destroying a vampire's face or identity using Vicissitude or physical damage, often done by Sabbat to mocks the beautiful Toreador. (Contextual slang).","slang,insult,disfigurement"
"Kine","The Kindred term for mortals/humans. Literally 'cattle'.","humans,mortals,food,cattle"
"Kindred","The term vampires use for themselves. Implies they are all family (descended from Caine).","vampire,self-term,family,us"
"Antitribu","'Anti-tribe'. Vampires who have defected from their parent clan's main sect. (e.g., Ventrue antitribu in the Sabbat). They often display twisted versions of their clan traits.","defector,traitor,sabbat counterpart,twisted clan"
"Blood Doll","A mortal who willingly lets vampires feed on them, often addicted to the sensation of the Kiss (the pleasure of the bite).","willing victim,addict,vessel,toy"
"Masquerade Breach","Any action that reveals the existence of vampires to mortals. Using disciplines in public, showing fangs, or getting caught on camera. Results in swift punishment.","crime,exposure,danger,violation"
"Elysium: The Basilica","The Basilica of St. Lawrence in Asheville. The primary seat of courtly interaction.","location,court,haven,church"
"Ductus","The leader of a Sabbat pack. They handle the tactics and mission of the group.","pack leader,captain,sabbat rank,officer"
"Priest (Pack Priest)","The spiritual leader of a Sabbat pack. They lead the Vaulderie and Rites of Monomacy.","spiritual leader,ritualist,sabbat rank,guide"
"Abbot","The Sabbat pack member responsible for the maintenance and defense of the communal haven.","quartermaster,haven keeper,sabbat rank,defender"
"Bishop","A high-ranking Sabbat leader who oversees multiple packs in a city. Equivalent to a Primogen or Seneschal in power.","sabbat leader,overseer,high rank,clergy"
"Archbishop","The ruler of a Sabbat city. Equivalent to a Prince, but theoretically 'first among equals' (though rarely in practice). Tallula was formerly Archbishop of Appalachia.","sabbat ruler,prince equivalent,city leader,tyrant"
"Cardinal","A supreme leader of the Sabbat overseeing a vast region (like the East Coast). They direct the Gehenna War.","sabbat general,regional leader,supreme commander"
"Priscus","An advisor to the Sabbat leadership, similar to a purely advisory Primogen. They have great status but no direct command.","advisor,elder,sabbat counselor,status"
"Templar (Paladin)","An elite warrior and bodyguard in the Sabbat, sworn to protect a Bishop or Cardinal. They are usually martial experts.","bodyguard,champion,elite warrior,sabbat knight"
"Black Hand","A secret military sect within the Sabbat. They are the special forces and assassins of the Sword of Caine. Highly feared.","secret society,sabbat special forces,assassins,elite"
"Inconnu","A mysterious sect of ancient vampires who have withdrawn from the Jyhad to seek Golconda. They monitor the other sects but rarely intervene.","mystery sect,monitors,golconda seekers,neutrals"
"Tal'Mahe'Ra","The True Black Hand. A death cult of ancients operating from the Shadowlands. (Deep lore).","deep lore,death cult,shadowlands,true black hand"
"Baali","An infernal bloodline of vampires who worship demons. They are hated and hunted by both Camarilla and Sabbat.","demon worshippers,infernalists,hated,bloodline"
"Salubri","A nearly extinct clan of healers and warriors with a third eye. They were destroyed by the Tremere (who diablerized their founder, Saulot). They are hunted as 'soul eaters' by Camarilla propaganda.","healers,third eye,hunted,extinct clan,saulot"
"Gargoyle","A bloodline of slave-warriors created by the Tremere from Gangrel, Nosferatu, and Tzimisce parts. Some have revolted and joined the Camarilla or Sabbat as free agents.","slave race,constructs,stone skin,tremere creation"
"Daughters of Cacophony","A bloodline of singers whose voices can shatter minds or objects. They are a split from the Toreador or Malkavians.","singers,sirens,sonic powers,bloodline"
"Samedi","A bloodline of rotting necromancers associated with Voodoo. They look like corpses and are mercenaries.","zombies,necromancers,rotting,mercenaries"
"Kiasyd","A Sabbat bloodline of fae-touched scholars. They are tall, pale, and have eyes like pools of ink. They study the Abyss and the Fae. Marrow Milker is a Kiasyd.","fae vampires,scholars,sabbat bloodline,weird"
"Nagaraja","A bloodline of flesh-eating necromancers. They possess sharp teeth and must consume flesh alongside blood.","flesh eaters,necromancers,cannibals,sharp teeth"
"True Brujah","A bloodline claiming to be the true descendants of the Brujah Antediluvian, possessing the power of Temporis (time manipulation). They are cold and emotionless.","time mages,true descendants,cold,temporis"
"Harbingers of Skulls","A Sabbat bloodline of necromancers returning from the dead. They look like skeletons and hate the Giovanni.","skeletons,necromancers,revenants,sabbat"
"Blood Brothers","A Sabbat bloodline created by the Tzimisce to be perfect shock troops. They share a hive mind and health levels within their circle (pack). 'Roach' is a Blood Brother pack.","hive mind,shock troops,frankenstein,sabbat weapon"
"Panders","The Clanless of the Sabbat. Unlike Camarilla Caitiff, they have established themselves as a legitimate political tribe within the Sword of Caine, led by Joseph Pander.","sabbat caitiff,organized clanless,legitimate tribe"
"Ravnos","A clan of tricksters and illusionists. They were nearly wiped out in 2004 during the 'Week of Nightmares' when their Antediluvian woke and was nuked. Survivors are nomads. Their power is Chimerstry (illusions).","tricksters,illusionists,nomads,chimerstry,decimated"
"Giovanni","A clan of necromancers and incestuous families. They are an independent clan (until recently) focused on wealth and family. They are allied iwth the Setties in the Independend Alliance.  They diablerized their founder Cappadocius.","necromancers,family,incest,mafia,independent"
"Setites",A clan worshipping the god Set. They act as corrupters and tempters, trading in vice and secrets. They hate the light and are enemies of the other clans (mostly). Allied with the Giovanni in the Independent aliance (IA),"snake worshippers,corrupters,tempters,set,ministry"
Here is a significant expansion of the glossary, focusing on **unique entries** not present in the previous list. This batch dives deeper into the specific NPC rosters (Sabbat, Regional, Changelings), specific items from the character sheets, discipline techniques mentioned in stat blocks, and the broader regional politics of the "Greater World" surrounding Asheville.
"Prince Ginevra Bellecourt","The Ventrue Prince of Charlotte, NC ('The Golden Tower'). A 7th Generation Elder who has ruled for over a century. Known for her cruel sense of humor, air hockey championship skills, and rigid social hierarchy.","prince,charlotte,ventrue,elder,bellecourt,neighbor"
"Seneschal Huy","The Nosferatu Seneschal of Charlotte. A Vietnamese Elder of the 7th Generation who spent decades in torpor after the Vietnam War. He deepened the Charlotte warrens and enforces the Prince's will with silent efficiency.","seneschal,nosferatu,elder,huy,charlotte,vietnam"
"Prince Iago","The ruler of Knoxville, TN ('The Marble Tyrant'). A tyrannical Prince who keeps his domain under strict martial law. He is a rival to the Asheville domain and a threat to the Anarch Free State.","prince,knoxville,iago,tyrant,rival,neighbor"
"Prince Malphas","The Prince of the Triangle (Raleigh/Durham/Chapel Hill). A Tremere Elder who acts as an 'uncle' figure to many. He maintains a stable, academic domain and corresponds with Tallula Donegan.","prince,tremere,malphas,triangle,raleigh,ally"
"Dr. Lenore Scott","The Seneschal of the Triangle. A Ventrue scholar who handles the day-to-day logistics of Malphas's domain. She is known for her medical background and detailed correspondence.","seneschal,ventrue,lenore scott,triangle,doctor"
"Marcus Thorne","Tremere Apprentice of the Third Circle in the Triangle. An expert on the history of Washington D.C. and occult artifacts. Quiet, bookish, and politically naive.","tremere,scholar,marcus thorne,triangle,occultist"
"Victoria Sterling","Tremere Apprentice of the Fourth Circle in the Triangle. A former NSA analyst embraced for her counter-intelligence skills. Paranoid and responsible for Chantry defenses.","tremere,nsa,spy,victoria sterling,security"
"Pieter van Dorn","A Brujah traitor to the Triangle Chantry. A former anti-apartheid poet who defects to the Anarchs/Setites. Currently missing.","traitor,brujah,pieter van dorn,poet,anarch"
"K-Blur ('Keebler')","A Knocker Changeling who runs a distribution warehouse in Asheville. Primary contact for the local Fae.","changeling,knocker,npc,keebler,fae"
"King Leopold Langora","The Satyr King of the Unseelie Court in Asheville. Took power during the 2020 pandemic. His primary goal is to keep the Changelings hidden from the vampire war.","changeling,king,satyr,unseelie,leopold"
"Ed (Redcap)","A Redcap and 'Vizier' to King Leopold. Terrifying enforcer who is rumored to be Leopold's lover. Originally from Baton Rouge.","changeling,redcap,ed,enforcer,unseelie"
"Helen's Bridge","A haunted bridge at Zealandia. The site where the witch Helen committed suicide to trap the Methuselah Judeculla. It is a synched leyline and a gathering place for ghosts.","location,haunted,healed,bridge,ghosts,judeculla"
"Judeculla","A Methuselah (likely Salubri or Baali) trapped beneath the mountains of WNC. His influence is kept at bay by Helen's sacrifice. The source of much local magical turbulence.","methuselah,ancient,judeculla,sleeping threat,monster"
"Black Mountain Neuro-Medical Center","A ominous medical facility and Sabbat stronghold. Tallula was seen visiting here to meet with Sabbat leaders.","location,hospital,sabbat,black mountain,creepy"
"Sariya Anderson","Ductus of the 'Yahtzee Bitch' Sabbat pack. A Pander architect who builds traps and fortifications.","sabbat,pander,ductus,sariya,yahtzee bitch"
"Johnny Caper","Abbot of 'Yahtzee Bitch'. An 11th Gen Malkavian bully who torments the weak.","sabbat,malkavian,johnny caper,abbot"
"Madlad","A deceased Pander member of 'Yahtzee Bitch'. Known for being a loose cannon before his destruction.","sabbat,pander,dead,madlad"
"Satyr Boys","A Sabbat pack of loyalists. Members include Michael (Malkavian Bishop), David (Brujah Ductus), Marko (Setite Abbot), Dwayne (Gangrel), and Star (Salubri).","pack,sabbat,satyr boys,loyalist"
"Star (Salubri)","A mysterious Sabbat Salubri antitribu member of the Satyr Boys. An enigma who fights for the Sword of Caine.","sabbat,salubri,star,antitribu,healer"
"Quickdraw Quinine Callahan","Pack Priest of Murder Piñata. A Lasombra Corsair (pirate) fanatic who loves dual-wielding pistols.","sabbat,lasombra,priest,quickdraw,corsair"
"Daggerface","Abbot of Murder Piñata. An 11th Gen Gangrel fanatic who uses Vicissitude to enhance his combat prowess.","sabbat,gangrel,daggerface,abbot"
"Howitzer Prime","A Tzimisce monster of Murder Piñata who has fleshcrafted their body into a living weapon.","sabbat,tzimisce,howitzer,monster,weapon"
"Abrams and Sherman","Tzimisce shovelheads trained by Howitzer Prime. Named after tanks, they are expendable shock troops.","sabbat,tzimisce,shovelhead,tank,minions"
"Miss Kitty","Bishop of Resources for the Sabbat. A Nosferatu influencer and member of 150 Guns. She rejected Tallula's request for a meeting.","sabbat,bishop,nosferatu,kitty,influencer"
"Winter","Ductus of 150 Guns and Sabbat Emissary. A Pander diplomat who negotiates with the Camarilla.","sabbat,pander,ductus,winter,diplomat"
"Marco Asensio","Lasombra Pack Priest of 150 Guns. Spiritual guide for the nomadic pack.","sabbat,lasombra,marco,priest"
"Daire Manning","Banu Haqim Sorcerer and Abbot of 150 Guns. Protects the pack's haven at the Crow and Quill.","sabbat,banu haqim,sorcerer,daire,abbot"
"Pop Eye","Malkavian Priest of the Hushed Puppies pack. A freakish vampire with disturbing insights.","sabbat,malkavian,priest,pop eye"
"Sawtooth Pete","Bishop of Information (Sabbat). Formerly the Camarilla Gangrel Primogen who defected back to the Sabbat. A master of wilderness survival.","sabbat,bishop,gangrel,traitor,sawtooth pete"
"Killswitch","Banu Haqim fighter of the Hushed Puppies. A silent killer loyal to Big Bird.","sabbat,banu haqim,killswitch,fighter"
"Technique: Bullseye Shot","A combination of Auspex and Celerity. Allows the user to make a ranged attack with supernatural accuracy, ignoring cover and penalties. Used by Tallula Donegan.","technique,combo,discipline,auspex,celerity,combat"
"Technique: Displacement Aura","A combination of Auspex and Obfuscate. The user appears to be slightly offset from their actual location, making them harder to hit. Used by Tallula Donegan.","technique,combo,discipline,auspex,obfuscate,defense"
"Technique: Will to Survive","A combination of Fortitude and Willpower. Allows the vampire to ignore wound penalties and stay active even when incapacitated.","technique,combo,discipline,fortitude,survival"
"Technique: Quickened Blood","A combination of Celerity and Fortitude. The vampire can spend blood to heal or buff themselves with incredible speed in a single turn.","technique,combo,discipline,celerity,fortitude,speed"
"Technique: Rend Flesh","A combination of Potence and Vicissitude. Allows the user to tear huge chunks of flesh from opponents, causing grievous wounds. Used by Sabbat monsters.","technique,combo,discipline,potence,vicissitude,damage"
"Technique: Master of Illusion","A combination of Chimerstry and Auspex. Allows for creating complex, multi-sensory illusions that are difficult to disbelieve.","technique,combo,discipline,chimerstry,auspex,illusion"
"Technique: Vanishing Act","A combination of Obfuscate and Celerity. The user can disappear from plain sight instantly, even while being observed.","technique,combo,discipline,obfuscate,celerity,stealth"
"Technique: Fearful Blow","A combination of Potence and Presence. A strike that terrifies the victim, causing them to flee or cower.","technique,combo,discipline,potence,presence,fear"
"Merit: Arcane","A supernatural quality that makes the vampire difficult to remember or record. Photos blur, files get lost, and people forget their face. Common among high-level NPCs.","merit,stealth,untraceable,memory,mystery"
"Merit: Rugged","A physical merit representing tough skin or dense bones. Reduces damage from physical attacks.","merit,physical,tough,defense"
"Merit: Shape of Beast's Wrath","A Werewolf-specific merit (or Gangrel). Allows the user to shift into the Crinos (war form) for devastating combat bonuses.","merit,combat,werewolf,crinos,shape"
"Merit: Slippery Customer","A merit that makes the user incredibly hard to grapple or restrain.","merit,defense,grapple,escape"
"Merit: Versatile","Allows a character to use a specific Ability with a different Attribute than usual (e.g., Strength + Intimidation instead of Charisma).","merit,skill,flexibility"
"Elara","Brujah Neonate. Carries a 'Jar of teeth from Big Ben's haven' and a copy of his journal. Has a weird voice in her head that might be Big Ben.","pc,brujah,elara,mystery,haunted"
"Rio de la Cruz","Lasombra Ancilla. A necromancer who uses 'Abyssal Ink' and 'Abyssal Ichor'. Recently quested to create lenses from a Timber Baron's eyes.","pc,lasombra,rio,necromancer,abyss,quest"
"Vittoria Pistone","Malkavian Ancilla. Has a 'Boss' in her head. Wears a dress and carries a rifle. Known for the tattoo 'Be gay, do crimes, take no shit'.","pc,malkavian,vittoria,guns,boss"
"Grant Smalls","Tremere Neonate Steward. Possesses specific occult books like 'Libations of the Vampire' and 'Vitae and Voles'. Has a tattoo of a pentagram over his heart.","pc,tremere,grant smalls,steward,scholar"
"Harold Harkness","Malkavian Neonate. Grows 'Magic Mushrooms' (Hallucinogens). Wears a 'Neurological Specialist's Outfit'. Investigated Mallori Mayhem's research.","pc,malkavian,harold,drugs,scientist"
"Feodor Ilyasov","Ventrue Elder. Uses the name 'Theodor'. Possesses 'Social Nobility' and a 'Prestigious Sire' (Anya Doyamin). Wears a flashy artisan necklace.","pc,ventrue,elder,feodor,ilyasov,noble"
"Enebishin","Gangrel Neonate. An archer who uses a bow with Silver and Incendiary arrows. Drives a Superior Motorcycle.","pc,gangrel,enebishin,archer,hunter"
"Helen Wheels","Gangrel Neonate. Drives a car customized for street racing. Has extensive lab equipment.","pc,gangrel,helen wheels,racer,scientist"
"Moe Schmoe","Banu Haqim Ancilla. Currently inactive. Known for using Silver and Incendiary ammo.","pc,banu haqim,moe,inactive,fighter"
"Pip Riviere","Toreador. Full name 'Pieretta Riviere'. Carries a Stylish Accurate Pistol. Active in Law Enforcement influence.","pc,toreador,pip,gun,law"
"Pretty Boy Slim (PBS)","Toreador Ancilla Deputy Sheriff. Drives a 'Franken-car' (Flashy). Uses Auto repair tools. Defies the 'artsy' stereotype with combat prowess.","pc,toreador,sheriff,mechanic,fighter"
"Zeno","Lasombra Ancilla. Represented by 'Zolani'. Currently on hold.","pc,lasombra,zeno,ancilla"
"Emerald Beauregard","Banu Haqim Neonate. Goes by 'Basil'. Investigated the Banu Haqim feeding territory and had a derangement break at a Gather.","pc,banu haqim,emerald,basil,investigator"
"Hailey Coleman","Tremere Neonate. Spent time being exasperated at her clanmates. Owns a Ouija Board customized for seances.","pc,tremere,hailey,seance,occult"
"Tristan de Lovette","Toreador Elder Whip. Named 'Victorious' by the Harpy. Attended the European Conclave to undermine Justicar Ulugh Begh. Master of social maneuvering.","pc,toreador,elder,tristan,politician"
"Isabella María","Banu Haqim Primogen. Goes by 'Izzy'. Recently discovered her Sabbat associations and moved in with Wiebke. Wears a 'Mazel cocktail'.","pc,banu haqim,primogen,isabella,izzy"
"Influence: Bureaucratic Errors","A Level 3 Commercial Industry influence action. Used by E.W. Grove to create a grant program for fire suppression systems.","influence,action,commercial,grove"
"Influence: No Party Crashers","A Level 5 influence action used to secure a location from mortal interference (police, fire, nosey neighbors).","influence,action,security,stealth"
"Influence: Smooth Over","A Level 4 News Media influence action. Used to spin a story or suppress a Masquerade breach in the press.","influence,action,media,spin,coverup"
"Influence: Free Travel","A Level 1 Transportation/Underworld influence action. Allows for secure movement between cities or locations without tracking.","influence,action,travel,logistics"
"Influence: Illegal Favors","A Level 3 Underworld/Street influence action. Used to acquire contraband (guns, drugs, burner phones).","influence,action,crime,black market"
"The Southern Lords","A historical sect of powerful vampires in the Southeast during the Civil War. They controlled the Dahlonega Mint gold. Tallula Donegan fought against them.","history,faction,civil war,antagonist,lore"
"Dahlonega Mint","The historical mint in Georgia seized by Confederates. Source of the 'bbat coins. The gold extracted has a psychic signature of murder.","history,location,gold,mint,lore"
"The Red Star (1999)","A celestial event in the World of Darkness that signaled the beginning of the Gehenna Time. Prompted Tallula to crack down on Gehenna cults in Asheville.","history,event,1999,gehenna,sign"
"Treaty of the Land of the Sky (1991)","The formal agreement overseen by the Tremere that established the Camarilla Praxis in Asheville after the Sabbat fled/defected.","history,treaty,1991,camarilla,law"
"Amici Noctis","'The Friends of the Night'. The secret ruling council of Clan Lasombra. Mentioned in relation to Terissa and Maria Ramirez's plots.","lore,lasombra,council,secret society,politics"
"The Prometheans","A faction within the Anarch Free State (referenced in 'Lore Bits'). They use 'Muses' as spies to keep the Camarilla out.","faction,anarch,prometheans,spies,lore"
"Type-D Aegis","A bio-engineered war ghoul or construct used by the Anarch Free State. Made of Toreador and Tzimisce vitae. Immune to blood magic but unstable.","creature,construct,weapon,anarch,fleshcraft"
"Schaefer Archive","The library of heretical texts held by Baron Schaefer at Mars Hill. Guarded by a Type-D Aegis.","location,library,mars hill,schaefer,lore"
"Moongate","A magical portal or phenomenon associated with Judeculla Rock and the bridge. Helen's suicide 'cinched' the leyline to close it.","magic,portal,leyline,judeculla,helen"
"Fetter","An object or person that ties a wraith to the living world. Helen's fetter is her sister (or the bridge itself, effectively).","lore,wraith,ghost,anchor,magic"
"Noddists","Scholars who study the Book of Nod and Caine. Often associated with the Sabbat, but also found among curious Camarilla (like those seeking the Schaefer Archive).","lore,scholar,heretic,caine,religion"
"The Week of Nightmares (2004)","The waking of the Ravnos Antediluvian. It resulted in the destruction of the clan and a psychic backlash. Mentioned in regional history.","history,event,ravnos,apocalypse,2004"
"SchreckNET 2.0","The attempt to rebuild the Nosferatu network after the SI crash. Heavily monitored and dangerous. 'xX_DarkRat_Xx' is a user.","lore,tech,nosferatu,internet,danger"
"Loresheet","A background mechanic allowing characters to buy into specific metaplot elements (e.g., 'Descendant of Hardestadt', 'Veteran of the Sabbat War').","mechanics,background,lore,connection"
"The Cobweb","The Malkavian Madness Network. A shared psychic consciousness connecting all Malkavians. Called 'The Madness Network' in the logs.","lore,malkavian,hive mind,psychic,network"
"Abyssal Mysticism","Dark blood magic practiced by Lasombra (and some Sabbat). Involves summoning entities from the void. Rio de la Cruz is a practitioner.","discipline,magic,lasombra,abyss,forbidden"
"Necromancy: Path of the Sepulchre","The path focusing on communicating with and commanding ghosts. Used by Giovanni and some Tremere/Lasombra.","discipline,necromancy,ghosts,path"
"Necromancy: Path of Ash","The path focusing on the Shroud (the barrier between worlds) and the Shadowlands.","discipline,necromancy,shroud,ghosts"
"Necromancy: Path of Bone","The path focusing on corpses, zombies, and the physical remains of death.","discipline,necromancy,zombies,corpses"
"Thaumaturgy: Path of Blood","The primary path of the Tremere. Manipulation of vitae itself (boiling, theft, potency).","discipline,thaumaturgy,blood,tremere"
"Thaumaturgy: Path of Technomancy","A modern path allowing interaction with computers and machines. Used by xX_DarkRat_Xx.","discipline,thaumaturgy,tech,computers"
"Thaumaturgy: Path of Caelestikinesis","The path of celestial movement/telekinesis. Used by 'The Knight'.","discipline,thaumaturgy,telekinesis,movement"
"Thaumaturgy: Movement of the Mind","The classic telekinesis path. Lifting objects, flight.","discipline,thaumaturgy,telekinesis,flight"
"Thaumaturgy: Lure of Flames","The path of creating and controlling fire. Highly dangerous due to Rötschreck.","discipline,thaumaturgy,fire,combat"
"Ghoul Family: Bratovich","A Revenant family serving the Tzimisce. Kennemasters and monsters. Known for violence and lack of hygiene.","lore,revenant,ghoul,tzimisce,family"
"Ghoul Family: Grimaldi","A Revenant family serving the Sabbat (and sometimes Camarilla). Socialites and politicians.","lore,revenant,ghoul,social,family"
"Ghoul Family: Obertus","A Revenant family serving the Tzimisce. Scholars and occultists.","lore,revenant,ghoul,scholar,family"
"Ghoul Family: Zantosa","A Revenant family serving the Tzimisce/Toreador. Hedonists and drug dealers.","lore,revenant,ghoul,party,family"
"Boons: Trivial","A small favor (e.g., a ride, an introduction). One-time service.","politics,boon,favor,low value"
"Boons: Minor","A significant favor (e.g., use of influence, teaching a discipline). Requires effort to repay.","politics,boon,favor,medium value"
"Boons: Major","A large favor (e.g., saving a reputation, killing a rival). Shifts the balance of power.","politics,boon,favor,high value"
"Boons: Life","The ultimate favor. Saving a vampire's unlife. The debtor effectively belongs to the creditor.","politics,boon,favor,life debt"
"The Red Question","An Anarch philosophical movement questioning the need for Elders and the Traditions.","lore,anarch,philosophy,rebellion"
"Status: Acclaimed","A Fleeting Status trait. Typically awarded by a Noble (Harpy, Seneschal, or Primogen of your own clan). Represents social praise and recognition.","status,fleeting,acclaimed,positive,social,noble"
"Acclaimed (Passive Effect)","Passive Effect: You may extend the passive bonus of any one status you currently possess (which is not expended) to one individual per night. This effect lasts for one hour, provided they remain within ten (10) feet of you.","status,acclaimed,passive,mechanic,buff,share"
"Acclaimed (Spent Effect)","Spent Effect: You may request that an officer of the sect share her views or offer advice, publicly or privately, about a subject that is pertinent to the domain. Useful for maneuvering rivals or forcing political stances.","status,acclaimed,spent,mechanic,social,politics,question"
"Status: Architect","An Innate Status trait. Derived from the 'Architect of the Tower' Merit. Represents deep structural importance to the Camarilla.","status,innate,architect,merit,positive,camarilla"
